,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Evan Rodrigues,PIT,C,18,6,7,13,5,0,52,0,1,0,0,0,21,5
Mitch Marner,TOR,C,20,6,11,17,-1,4,55,3,0,6,1,0,7,12
Timo Meier,SJ,LW,13,6,9,15,5,0,55,2,2,0,0,0,29,10
Danton Heinen,PIT,C,18,6,3,9,0,8,39,1,2,0,0,0,19,14
Nikolaj Ehlers,WPG,LW,18,6,7,13,6,6,68,1,0,1,0,0,7,7
Sam Bennett,FLA,LW,14,6,4,10,13,14,50,3,1,1,0,1,31,6
Chandler Stephenson,VGK,C,19,6,11,17,3,6,30,1,0,2,0,0,19,13
Oliver Bjorkstrand,CLS,RW,16,6,12,18,-4,4,51,0,2,4,0,0,7,6
Carter Verhaeghe,FLA,C,18,6,9,15,7,12,31,1,0,1,0,0,9,1
Jesse Puljujarvi,EDM,RW,18,6,9,15,7,10,44,0,1,2,0,0,20,4
Frank Vatrano,FLA,LW,18,6,2,8,1,4,37,0,1,0,0,0,17,8
Anthony Cirelli,TB,C,18,6,6,12,4,23,34,1,2,0,0,0,25,21
Roope Hintz,DAL,LW,17,6,4,10,-2,6,47,2,1,3,2,0,21,10
Andreas Johnsson,NJ,LW,16,6,5,11,8,10,25,0,1,0,0,0,14,4
Alex Iafallo,LA,C,18,6,7,13,0,4,57,2,1,1,0,0,12,12
Tom Wilson,WAS,RW,19,6,10,16,12,20,36,1,1,0,0,1,48,17
Andre Burakovsky,COL,LW,14,6,7,13,0,4,23,1,2,3,0,0,11,6
Jonathan Huberdeau,FLA,LW,18,6,12,18,6,2,37,2,1,4,1,0,28,10
Gabriel Landeskog,COL,LW,13,6,9,15,10,12,37,1,0,3,0,0,19,12
Adam Henrique,ANH,C,19,6,9,15,6,4,54,0,2,2,0,0,10,16
Ryan Johansen,NSH,C,18,6,7,13,-6,8,26,1,2,3,0,0,13,10
Patrice Bergeron,BOS,C,15,6,7,13,5,6,47,2,3,3,0,0,21,9
Logan Couture,SJ,C,17,6,8,14,6,4,40,1,0,1,1,1,19,15
Patrick Kane,CHI,RW,15,6,11,17,-4,0,69,2,2,4,0,0,3,2
David Perron,STL,RW,18,6,11,17,-1,12,48,1,3,5,0,0,13,3
Evgeny Kuznetsov,WAS,C,19,6,16,22,9,12,52,1,1,6,1,1,8,6
