,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Travis Konecny,PHI,C,15,5,4,9,0,8,48,1,2,0,0,0,18,5
Tage Thompson,BUF,RW,16,5,4,9,2,4,44,0,1,0,0,0,11,5
Carter Verhaeghe,FLA,C,17,5,9,14,7,12,29,1,0,1,0,0,9,1
J.T. Compher,COL,C,12,5,4,9,0,6,24,0,1,2,1,0,7,9
Oliver Bjorkstrand,CLS,RW,14,5,12,17,-4,2,43,0,2,4,0,0,7,5
Adrian Kempe,LA,C,16,5,4,9,-3,14,48,1,0,2,0,0,26,3
Aaron Ekblad,FLA,D,17,5,8,13,14,4,51,0,1,3,0,0,20,15
Sam Bennett,FLA,LW,13,5,4,9,12,14,44,2,1,1,0,1,27,5
Chandler Stephenson,VGK,C,17,5,11,16,5,6,26,1,0,2,0,0,19,13
Lawson Crouse,ARI,LW,17,5,4,9,-1,22,42,1,0,2,0,0,39,7
Andrew Copp,WPG,C,17,5,11,16,12,6,45,1,1,1,1,1,15,9
Garnet Hathaway,WAS,RW,17,5,1,6,5,8,32,2,0,0,0,1,61,8
Danton Heinen,PIT,C,16,5,3,8,-2,8,35,0,2,0,0,0,19,13
Evgenii Dadonov,VGK,RW,17,5,4,9,6,0,49,1,1,0,0,0,15,8
Tyler Seguin,DAL,C,15,5,4,9,-5,4,42,1,1,2,0,0,14,7
Nazem Kadri,COL,C,14,5,14,19,1,26,40,0,2,5,0,0,12,3
Jesper Fast,CAR,RW,15,5,2,7,7,0,23,0,0,0,0,0,25,8
Teddy Blueger,PIT,C,16,5,2,7,1,2,29,0,0,0,0,0,28,10
Chris Tierney,OTT,C,15,5,1,6,-7,4,22,1,3,1,0,0,9,11
Bo Horvat,VAN,C,18,5,5,10,-2,10,46,0,1,1,0,0,15,9
Tom Wilson,WAS,RW,17,5,9,14,12,20,31,1,1,0,0,1,41,17
Dougie Hamilton,NJ,D,12,5,5,10,4,6,47,0,1,3,0,0,19,25
Marcus Foligno,MIN,LW,16,5,5,10,4,39,19,1,2,1,0,0,41,4
Sean Couturier,PHI,C,15,5,8,13,2,4,41,2,1,3,0,0,7,6
Charlie Coyle,BOS,C,13,5,3,8,-2,6,28,1,1,0,0,0,21,5
Jeff Skinner,BUF,LW,16,5,4,9,-2,2,52,1,0,2,0,0,4,7
Ryan Johansen,NSH,C,16,5,4,9,-6,6,21,1,2,1,0,0,11,10
Oliver Wahlstrom,NYI,RW,13,5,0,5,-1,8,33,1,2,0,0,0,23,4
Cale Makar,COL,D,12,5,8,13,-4,2,30,2,1,5,0,0,11,9
Alexandre Texier,CLS,C,14,5,1,6,1,0,24,0,0,0,0,0,5,2
Tanner Jeannot,NSH,LW,16,5,3,8,2,22,29,1,0,0,0,0,41,7
Victor Olofsson,BUF,LW,8,5,4,9,3,4,22,0,1,2,0,0,0,2
Dawson Mercer,NJ,C,15,5,6,11,6,10,36,0,0,1,0,0,7,6
Nils Hoglander,VAN,LW,18,5,4,9,5,8,46,0,0,1,0,0,7,5
Cole Sillinger,CLS,C,14,4,4,8,-1,15,40,1,0,1,0,0,8,6
Nick Suzuki,MON,C,19,4,10,14,-8,2,45,2,2,3,1,0,16,11
Jesper Bratt,NJ,LW,15,4,7,11,3,8,40,1,0,2,0,0,9,4
Joel Farabee,PHI,LW,15,4,3,7,8,4,23,0,1,0,0,0,22,5
Brandon Hagel,CHI,LW,13,4,2,6,-5,2,24,0,0,0,0,0,8,2
Alexis Lafreniere,NYR,LW,17,4,1,5,-1,8,26,2,0,0,0,0,29,7
Mike Hoffman,MON,LW,13,4,3,7,-9,2,34,2,2,3,0,0,8,4
Anders Lee,NYI,C,12,4,0,4,-4,6,31,1,0,0,0,0,14,3
Mika Zibanejad,NYR,C,17,4,10,14,3,2,44,0,2,4,0,1,12,9
Rickard Rakell,ANH,C,8,4,0,4,-2,2,29,0,2,0,0,0,6,6
Vincent Trocheck,CAR,C,15,4,9,13,9,16,28,1,2,2,0,0,32,8
Brock McGinn,PIT,LW,16,4,3,7,3,8,31,1,0,0,0,0,26,10
Sam Carrick,ANH,C,10,4,1,5,1,4,19,0,0,0,0,0,20,3
Ondrej Palat,TB,LW,15,4,6,10,1,8,32,3,0,0,0,0,27,13
Filip Forsberg,NSH,RW,9,4,3,7,-2,4,22,1,0,2,0,0,8,6
Jamie Benn,DAL,C,15,4,3,7,0,15,38,1,1,1,0,0,37,9
Taylor Hall,BOS,LW,13,4,5,9,-1,8,29,0,1,1,0,0,14,9
Mats Zuccarello,MIN,RW,12,4,8,12,5,2,24,0,0,4,0,0,3,5
Kevin Shattenkirk,ANH,D,18,4,10,14,6,10,32,0,0,7,0,0,13,27
Milan Lucic,CGY,LW,17,4,2,6,-3,16,24,0,0,1,0,0,44,6
Joe Pavelski,DAL,RW,15,4,5,9,-2,6,30,0,3,2,0,0,18,9
Kyle Okposo,BUF,RW,16,4,5,9,-1,4,38,1,2,1,0,0,9,7
T.J. Oshie,WAS,RW,7,4,2,6,-4,4,13,1,1,1,0,0,7,6
Paul Stastny,WPG,C,11,4,4,8,4,8,13,1,1,1,0,0,4,7
Zach Werenski,CLS,D,14,4,6,10,-2,4,48,1,2,2,0,0,6,18
Mitch Marner,TOR,C,18,4,11,15,-2,4,49,2,0,6,0,0,6,12
Mathew Barzal,NYI,C,13,4,4,8,-4,4,39,0,0,1,0,0,11,2
Yanni Gourde,SEA,LW,13,4,4,8,-1,7,32,0,0,1,0,0,20,3
Kasperi Kapanen,PIT,RW,16,4,6,10,2,6,38,0,0,3,0,0,16,5
Ivan Barbashev,STL,LW,16,4,6,10,2,12,28,0,0,1,1,0,27,7
David Pastrnak,BOS,RW,13,4,9,13,4,6,58,0,1,1,0,0,13,3
Pavel Buchnevich,STL,LW,14,4,6,10,8,14,41,0,2,1,0,0,9,3
Luke Glendening,DAL,C,15,4,3,7,0,4,21,0,0,0,0,0,28,12
Ben Chiarot,MON,D,19,4,1,5,-6,16,33,0,0,0,0,0,46,37
Josh Anderson,MON,RW,19,4,4,8,-13,11,48,0,0,1,0,0,45,1
Adam Fox,NYR,D,17,4,12,16,3,6,37,1,0,6,1,0,8,36
Pius Suter,DET,LW,19,4,3,7,-2,2,43,1,0,1,0,0,6,4
Sam Steel,ANH,C,11,4,0,4,-2,2,7,0,0,0,0,0,1,6
Rasmus Asplund,BUF,C,16,4,6,10,4,4,26,1,1,1,1,0,5,3
Rem Pitlick,MIN,C,7,4,2,6,4,6,6,1,0,0,0,0,3,2
Kirill Kaprizov,MIN,LW,16,4,11,15,0,8,51,1,1,2,0,0,16,3
Brock Boeser,VAN,RW,15,4,4,8,-2,2,39,0,1,1,0,1,7,9
Artemi Panarin,NYR,LW,17,4,12,16,-1,0,39,1,1,7,0,0,7,2
Ondrej Kase,TOR,RW,18,4,2,6,-1,6,47,0,0,0,0,0,11,11
Frank Vatrano,FLA,LW,17,4,1,5,-1,4,34,0,1,0,0,0,15,6
Anthony Cirelli,TB,C,15,4,6,10,6,21,23,1,1,0,0,0,23,16
Michael Bunting,TOR,LW,18,4,4,8,-5,14,35,0,1,1,0,0,18,2
Patrik Laine,CLS,RW,9,3,7,10,2,6,23,2,0,4,0,0,5,5
Clayton Keller,ARI,C,17,3,4,7,-4,16,38,0,2,1,0,0,3,12
Conor Sheary,WAS,LW,17,3,4,7,0,2,22,1,1,1,0,0,8,8
Oliver Kylington,CGY,D,16,3,9,12,8,4,28,0,0,0,0,0,12,16
Anthony Beauvillier,NYI,LW,13,3,4,7,0,0,32,0,1,0,0,0,11,2
Roope Hintz,DAL,LW,15,3,3,6,-4,2,40,1,0,2,0,0,18,9
Jake DeBrusk,BOS,LW,13,3,1,4,-3,0,24,2,0,0,0,0,4,4
Kevin Rooney,NYR,C,17,3,0,3,-1,6,17,0,0,0,0,0,20,15
Mathieu Joseph,TB,RW,15,3,4,7,2,6,13,0,0,0,0,0,26,8
David Kampf,TOR,RW,18,3,2,5,-1,6,21,0,0,0,0,0,21,5
Owen Tippett,FLA,RW,17,3,6,9,6,6,29,0,0,0,0,0,18,7
Carl Grundstrom,LA,LW,12,3,1,4,2,0,24,0,0,0,0,0,22,4
Jake Bean,CLS,D,14,3,2,5,-3,6,21,1,0,0,0,0,6,19
Charlie McAvoy,BOS,D,13,3,9,12,7,12,29,0,2,4,0,0,27,25
Janne Kuokkanen,NJ,LW,15,3,1,4,-3,4,15,1,1,0,1,0,10,5
Shea Theodore,VGK,D,16,3,8,11,3,6,44,0,0,2,0,0,5,22
Sonny Milano,ANH,LW,13,3,6,9,-2,2,18,1,1,3,0,0,9,3
Robby Fabbri,DET,LW,19,3,5,8,-8,10,47,0,1,1,0,0,30,12
Sam Reinhart,FLA,RW,17,3,8,11,2,4,35,0,0,3,0,0,11,8
Daniel Sprong,WAS,RW,16,3,2,5,6,2,37,0,0,0,0,0,11,5
Jimmy Vesey,NJ,LW,15,3,2,5,0,2,25,1,0,0,1,0,22,11
Anders Bjork,BUF,LW,16,3,1,4,1,4,19,0,0,0,0,0,5,3
Nick Paul,OTT,LW,15,3,0,3,-10,9,40,0,0,0,0,0,19,11
Tony DeAngelo,CAR,D,15,3,11,14,13,23,33,1,0,6,0,0,7,10
Barclay Goodrow,NYR,LW,17,3,4,7,-3,10,23,1,0,0,0,1,34,12
Mark Giordano,SEA,D,17,3,4,7,-6,16,32,0,0,2,0,0,11,23
Phil Kessel,ARI,RW,17,3,5,8,-5,4,36,0,1,4,0,0,2,3
Andrew Ladd,ARI,LW,13,3,1,4,-8,10,14,0,1,0,0,0,22,9
Jason Spezza,TOR,C,18,3,3,6,-2,8,28,0,1,2,0,0,9,8
Jeff Carter,PIT,C,13,3,4,7,-3,12,50,0,1,0,0,0,14,9
Mikael Backlund,CGY,C,17,3,3,6,2,8,33,0,0,0,0,0,15,3
Alex Pietrangelo,VGK,D,17,3,7,10,2,8,48,0,1,3,0,0,14,37
Cam Fowler,ANH,D,18,3,10,13,0,2,33,0,2,5,0,0,11,29
Nino Niederreiter,CAR,RW,9,3,0,3,3,2,19,1,1,0,0,0,10,3
Mikael Granlund,NSH,C,16,3,13,16,5,6,23,0,0,4,0,0,8,8
Brayden Schenn,STL,C,9,3,3,6,7,7,12,0,1,1,0,0,8,0
Zack Kassian,EDM,RW,12,3,2,5,-5,27,8,1,1,0,0,0,41,0
Erik Karlsson,SJ,D,10,3,5,8,2,4,19,0,0,5,0,0,4,10
John Carlson,WAS,D,17,3,11,14,4,2,35,1,2,3,0,0,11,22
Mathieu Perreault,MON,C,8,3,1,4,3,4,11,0,0,0,0,0,7,5
Morgan Rielly,TOR,D,18,3,10,13,4,0,42,2,1,4,0,0,22,16
Torey Krug,STL,D,11,3,6,9,5,8,28,1,1,3,1,0,9,9
Scott Laughton,PHI,C,15,3,1,4,2,6,22,0,0,0,0,0,31,14
Teuvo Teravainen,CAR,C,15,3,9,12,4,4,40,1,2,5,0,0,7,10
Zemgus Girgensons,BUF,C,16,3,4,7,0,6,27,1,0,0,0,0,19,6
Josh Morrissey,WPG,D,17,3,5,8,13,12,36,0,3,1,0,0,31,22
Blake Coleman,CGY,C,16,3,3,6,7,12,45,0,0,0,0,0,36,9
Phillip Danault,LA,C,16,3,6,9,1,12,39,1,0,1,0,0,18,9
Jared Spurgeon,MIN,D,16,3,5,8,5,2,27,0,0,2,0,0,14,22
Brendan Gallagher,MON,RW,18,3,5,8,-2,24,46,0,2,0,0,0,20,12
Jason Zucker,PIT,LW,16,3,4,7,-2,2,46,0,1,0,0,0,26,9
